id,name,yearpublished
366013,Heat: Pedal to the Metal,2022
285774,Marvel Champions: The Card Game,2019
365717,Clank!: Catacombs,2022
390092,Ticket to Ride Legacy: Legends of the West,2023
175914,Food Chain Magnate,2015
247763,Underwater Cities,2018
256960,Pax Pamir: Second Edition,2019
414317,Harmonies,2024
253344,Cthulhu: Death May Die,2019
383179,Age of Innovation,2023
184267,On Mars,2020
314040,Pandemic Legacy: Season 0,2020
185343,Anachrony,2017
102794,Caverna: The Cave Farmers,2013
251661,Oathsworn: Into the Deepwood,2022
240980,Blood on the Clocktower,2022
170216,Blood Rage,2015
231733,Obsession,2018
182874,Grand Austria Hotel,2015
161533,Lisboa,2017
371942,The White Castle,2023
436217,The Lord of the Rings: Fate of the Fellowship,2025
380607,Great Western Trail: New Zealand,2023
221107,Pandemic Legacy: Season 2,2017
255984,Sleeping Gods,2021
367966,Endeavor: Deep Sea,2024
126163,Tzolk'in: The Mayan Calendar,2012
216132,Clans of Caledonia,2017
205059,Mansions of Madness: Second Edition,2016
266810,Paladins of the West Kingdom,2019
337627,Voidfall,2023
35677,Le Havre,2008
124742,Android: Netrunner,2012
125153,The Gallerist,2015
200680,Agricola (Revised Edition),2016
164153,Star Wars: Imperial Assault,2014
366161,Wingspan Asia,2022
322289,Darwin's Journey,2023
413246,Bomb Busters,2024
276025,Maracaibo,2019
209010,Mechs vs. Minions,2016
332772,Revive,2022
28143,Race for the Galaxy,2007
55690,Kingdom Death: Monster,2015
157354,Five Tribes: The Djinns of Naqala,2014
277659,Final Girl,2021
359871,Arcs,2024
201808,Clank!: A Deck-Building Adventure,2016
93,El Grande,1995
159675,Fields of Arle,2014
256916,Concordia Venus,2018
72125,Eclipse: New Dawn for the Galaxy,2011
291453,SCOUT,2019
191189,Aeon's End,2016
359609,Arkham Horror: The Card Game (Revised Core Set),2021
229853,Teotihuacan: City of Gods,2018
391137,Galactic Cruise,2025
364073,Splendor Duel,2022
317985,Beyond the Sun,2020
12,Ra,1999
279537,The Search for Planet X,2020
62219,Dominant Species,2010
225694,Decrypto,2018
25613,Through the Ages: A Story of Civilization,2006
121921,Robinson Crusoe: Adventures on the Cursed Island,2012
171623,The Voyages of Marco Polo,2015
217372,The Quest for El Dorado,2017
163068,Trickerion: Legends of Illusion,2015
410201,Wyrmspan,2024
155821,Inis,2016
37111,Battlestar Galactica: The Board Game,2008
310873,Carnegie,2022
271055,Dwellings of Eldervale,2020
310100,Nemesis: Lockdown,2022
236457,Architects of the West Kingdom,2018
42,Tigris & Euphrates,1997
227935,Wonderland's War,2022
40834,Dominion: Intrigue,2009
396790,Nucleum,2023
122515,Keyflower,2012
170042,Raiders of the North Sea,2015
264220,Tainted Grail: The Fall of Avalon,2019
4098,Age of Steam,2002
146021,Eldritch Horror,2013
18602,Caylus,2005
73439,Troyes,2010
203993,Lorenzo il Magnifico,2016
429293,The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game,2025
269385,The Lord of the Rings: Journeys in Middle-Earth,2019
172386,Mombasa,2015
43015,Hansa Teutonica,2009
163412,Patchwork,2014
102680,Trajan,2011
218417,Aeon's End: War Eternal,2017
12493,Twilight Imperium: Third Edition,2005
391163,Forest Shuffle,2023
144733,Russian Railroads,2013
205896,Rising Sun,2018
175640,Vinhos: Deluxe Edition,2016
196340,Yokohama,2016
254640,Just One,2018
175155,Forbidden Stars,2015
325494,ISS Vanguard,2022
